nodes	type
Eggs_CBM35	CBM
Eggs_CE15	CE
Eggs_CE3	CE
Eggs_GH125	GH
Eggs_GH136	GH
Eggs_GH15	GH
Eggs_GH2	GH
Eggs_GH24	GH
Eggs_GH29	GH
Eggs_GH35	GH
Eggs_GH5	GH
Eggs_GH51	GH
Eggs_GH63	GH
Eggs_GH76	GH
Eggs_GH84	GH
Eggs_GH92	GH
Eggs_GT14	GT
Eggs_GT90	GT
Eggs_PL11	PL
Oils_GT26	GT
Fruits_CBM35	CBM
Fruits_CBM48	CBM
Fruits_CBM50	CBM
Fruits_CBM67	CBM
Fruits_CE1	CE
Fruits_CE10	CE
Fruits_CE11	CE
Fruits_CE12	CE
Fruits_CE15	CE
Fruits_CE3	CE
Fruits_CE4	CE
Fruits_GH106	GH
Fruits_GH109	GH
Fruits_GH115	GH
Fruits_GH123	GH
Fruits_GH125	GH
Fruits_GH127	GH
Fruits_GH13	GH
Fruits_GH130	GH
Fruits_GH145	GH
Fruits_GH15	GH
Fruits_GH18	GH
Fruits_GH2	GH
Fruits_GH20	GH
Fruits_GH23	GH
Fruits_GH28	GH
Fruits_GH29	GH
Fruits_GH3	GH
Fruits_GH30	GH
Fruits_GH31	GH
Fruits_GH36	GH
Fruits_GH5	GH
Fruits_GH57	GH
Fruits_GH63	GH
Fruits_GH73	GH
Fruits_GH76	GH
Fruits_GH77	GH
Fruits_GH78	GH
Fruits_GH9	GH
Fruits_GH92	GH
Fruits_GH94	GH
Fruits_GH97	GH
Fruits_GT14	GT
Fruits_GT19	GT
Fruits_GT2	GT
Fruits_GT27	GT
Fruits_GT28	GT
Fruits_GT3	GT
Fruits_GT30	GT
Fruits_GT35	GT
Fruits_GT4	GT
Fruits_GT5	GT
Fruits_GT51	GT
Fruits_GT9	GT
Fruits_GT90	GT
Fruits_PL9	PL
Fruits_CBM44	CBM
Fruits_CBM6	CBM
Fruits_CE9	CE
Fruits_GH27	GH
Fruits_GH35	GH
Fruits_GH42	GH
Fruits_GH95	GH
Grains_CBM35	CBM
Grains_CBM67	CBM
Grains_AA6	AA
Grains_CE1	CE
Grains_CE10	CE
Grains_CE15	CE
Grains_CE3	CE
Grains_GH112	GH
Grains_GH123	GH
Grains_GH136	GH
Grains_GH84	GH
Grains_GH88	GH
Grains_GH9	GH
Grains_GT28	GT
Grains_GT3	GT
Grains_GT30	GT
Grains_GT9	GT
Grains_GT90	GT
Grains_PL9	PL
Grains_GH108	GH
Meats_GH136	GH
Meats_GH24	GH
Meats_GH76	GH
Meats_GT5	GT
Meats_CBM48	CBM
Meats_GH106	GH
Meats_GH133	GH
Meats_GT4	GT
Meats_GT90	GT
Milks_CBM30	CBM
Milks_CE7	CE
Milks_GT26	GT
Sweets and Beverages_GH67	GH
Sweets and Beverages_GT26	GT
Sweets and Beverages_CBM20	CBM
Sweets and Beverages_CBM35	CBM
Sweets and Beverages_CBM67	CBM
Sweets and Beverages_CE11	CE
Sweets and Beverages_CE12	CE
Sweets and Beverages_GH105	GH
Sweets and Beverages_GH123	GH
Sweets and Beverages_GH127	GH
Sweets and Beverages_GH136	GH
Sweets and Beverages_GH137	GH
Sweets and Beverages_GH145	GH
Sweets and Beverages_GH16	GH
Sweets and Beverages_GH23	GH
Sweets and Beverages_GH28	GH
Sweets and Beverages_GH29	GH
Sweets and Beverages_GH57	GH
Sweets and Beverages_GH84	GH
Sweets and Beverages_GH89	GH
Sweets and Beverages_GT30	GT
Sweets and Beverages_GT4	GT
Sweets and Beverages_GT90	GT
Sweets and Beverages_PL1	PL
Sweets and Beverages_PL10	PL
Sweets and Beverages_PL11	PL
Sweets and Beverages_PL26	PL
Sweets and Beverages_CBM32	CBM
Sweets and Beverages_CBM50	CBM
Sweets and Beverages_AA6	AA
Sweets and Beverages_CE1	CE
Sweets and Beverages_CE10	CE
Sweets and Beverages_CE15	CE
Sweets and Beverages_CE3	CE
Sweets and Beverages_CE4	CE
Sweets and Beverages_GH109	GH
Sweets and Beverages_GH110	GH
Sweets and Beverages_GH115	GH
Sweets and Beverages_GH125	GH
Sweets and Beverages_GH13	GH
Sweets and Beverages_GH130	GH
Sweets and Beverages_GH18	GH
Sweets and Beverages_GH2	GH
Sweets and Beverages_GH20	GH
Sweets and Beverages_GH27	GH
Sweets and Beverages_GH3	GH
Sweets and Beverages_GH30	GH
Sweets and Beverages_GH31	GH
Sweets and Beverages_GH32	GH
Sweets and Beverages_GH35	GH
Sweets and Beverages_GH36	GH
Sweets and Beverages_GH42	GH
Sweets and Beverages_GH5	GH
Sweets and Beverages_GH51	GH
Sweets and Beverages_GH63	GH
Sweets and Beverages_GH73	GH
Sweets and Beverages_GH76	GH
Sweets and Beverages_GH77	GH
Sweets and Beverages_GH78	GH
Sweets and Beverages_GH88	GH
Sweets and Beverages_GH92	GH
Sweets and Beverages_GH97	GH
Sweets and Beverages_GT2	GT
Sweets and Beverages_GT27	GT
Sweets and Beverages_GT28	GT
Sweets and Beverages_GT35	GT
Sweets and Beverages_PL9	PL
Vegetables_CBM4	CBM
Vegetables_GH94	GH
Vegetables_GT90	GT
Vegetables_GH1	GH
Vegetables_PL15	PL
Legumes_CBM46	CBM
Eggs_GH140	GH
Eggs_GH142	GH
Eggs_GT28	GT
Eggs_PL1	PL
Eggs_PL15	PL
Eggs_PL6	PL
Fats_CBM37	CBM
Fats_CBM50	CBM
Fats_CBM20	CBM
Fats_CBM22	CBM
Fats_CBM30	CBM
Fats_CBM32	CBM
Fats_CBM48	CBM
Fats_CBM57	CBM
Fats_CBM62	CBM
Fats_CBM66	CBM
Fats_CBM67	CBM
