Cazyme	MCTs29	MCTs37	MCTs05	MCTs04	MCTs07	MCTs06	MCTs01	MCTs03	MCTs28	MCTs27	MCTs26	MCTs25	MCTs24	MCTs23	MCTs22	MCTs21	MCTs20	MCTs36	MCTs09	MCTs08	MCTs16	MCTs31	MCTs14	MCTs15	MCTs12	MCTs13	MCTs10	MCTs11	MCTs18	MCTs19	MCTs32	MCTs33	MCTs34	MCTs35
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM62	0	0.000220363	0.000435804	0.00077607	0.00020254	0	0.00014124	0.000124513	0	0.000333909	0.000363233	0.000458211	0	0.000228089	0.000306287	0.000160652	0.00039155	0.000221563	0.000485994	0.000240694	0.00049776	0	0	0.000331525	0.000472285	0	0	0.000155821	0.000381211	0.000132775	9.32E-05	0.00025075	0	0.000252093
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM65	0	0	0	0	0.000573864	0	0	0	0.000377423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017001	0	0	0	0	0	0	0.000127231	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM66	0	0.001109414	0.001193724	0.000574867	0.00173847	0	0.001966494	0.002757075	0.000995025	0.001915069	0.001099258	0.001109889	0.000285285	0.0028131	0.003343628	0.000827978	0.00323029	0.00065238	0.001799212	0.001727336	0.001692384	0.00023627	0.000296663	0.003857746	0.001185007	0.0016661	0.001677519	0.002110661	0.000476513	0.003239705	0.000792587	0.001101117	0.004357645	0.000472674
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM67	0	0.002940707	0.003922237	0.00283601	0.004346175	0.004892596	0.006551357	0.002365748	0.002916452	0.00509703	0.003326451	0.002484523	0.007258918	0.004447739	0.005717349	0.005696985	0.00512931	0.005440603	0.005800908	0.004318339	0.004844865	0.005122341	0.00289246	0.002802893	0.004327852	0.002822169	0.007305327	0.00514208	0.00426744	0.007070258	0.005711289	0.005647315	0.004230414	0.002195309
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM69	0	6.08E-05	0.000265272	0	0	0	0	0.000266814	0	0	0	0	0	0	0.000242477	0.00017301	0	0	1.03E-05	9.91E-05	0	0	0	0	0	0	0	0.00012749	0.000338854	0.000776733	0.000314704	0.000196239	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM72	0	0.000106382	0.000132636	0	7.60E-05	0	0	0.000142301	0	0	0	0	0	0	0.000127619	0.000160652	0	0	0.000124084	9.91E-05	0.000116144	0	0	0	0	0	0	8.50E-05	0	0	0	0	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM74	0	0	0	0	0	0.002096827	0	0	0.001818494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM77	0	0	0	0	0	0.000232981	0	0	0	0	0	0	0	0	0	7.41E-05	0	0	0	0	0	0	0.000148331	0	0	0	0	0	0	0	0	0	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.20E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM79	0	0	0	0	0	0	0.000336803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.72E-05	0	0
L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM9	0	0.001793299	0.000511596	0.000814395	0.001181484	0.004007269	0.002042546	0.001654245	0.001029336	0.001207967	0.001261757	0.000763685	0.000418418	0.001976773	0.001442099	0.00081562	0.002349302	0.00156325	0.00104437	0.001741494	0.00182512	0.000283524	0	0.000693189	0.001683054	0.000850051	0.00142499	0.001586537	0.000857724	0.000743539	0.000221458	0.000850368	0.003021725	9.45E-05
L1_CAZyme;L2_Enzyme_Classes;L3_AuxiliaryActivities;L4_AA6	0.000853485	9.88E-05	0.00018948	0.001197639	0.000362885	0	0.000249886	0.000462477	0.000720535	0.000402656	0.000554409	0.000152737	0.00114748	0.001349528	0.001135813	0.002286209	0.001174651	0.000123091	0.000392931	0.001026491	0.001609424	0.001332565	0.000494438	0.003616637	0.000420763	0.000748045	0.000523097	0.000736607	0.002170782	0.001334387	0.001293782	0.000839466	0.001494958	0.001691123
L1_CAZyme;L2_Enzyme_Classes;L3_AuxiliaryActivities;L4_AA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000297476	0	0.000225717	0	0	0	0
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE1	0.026458037	0.018221746	0.019308019	0.013653087	0.016034432	0.016728018	0.026531366	0.021683061	0.016297821	0.024434318	0.01985356	0.020863881	0.015570221	0.024538595	0.01711376	0.02716263	0.026155563	0.025910562	0.019181255	0.016055728	0.016459267	0.019686044	0.033349815	0.026220615	0.021390237	0.026011561	0.017713162	0.023783891	0.014030666	0.014167071	0.018497581	0.0217716	0.025223449	0.028244908
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE10	0.011379801	0.011519669	0.012467788	0.017514276	0.013477362	0.031871767	0.01196193	0.011259539	0.018871161	0.013788498	0.011948459	0.013196481	0.012970958	0.014692745	0.017254141	0.016732575	0.013273557	0.012506001	0.011363989	0.015439833	0.016791107	0.01545208	0.019184178	0.01217601	0.016435533	0.022407344	0.016865384	0.017126101	0.012272862	0.009758947	0.018590827	0.015753611	0.020356882	0.011701312
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE11	0	0.002613962	0.001989541	0.001331775	0.002194185	0.00507898	0.000445449	0.002259023	0.001372448	0.001433847	0.003173511	0.00169029	0.00437437	0.002623026	0.001799433	0.001482946	0.004502829	0.003175736	0.001344239	0.001727336	0.002555168	0.00499948	0.00566131	0.004098855	0.003477738	0.001632098	0.004166742	0.003130578	0.002806133	0.001407413	0.005839501	0.002867266	0.005152836	0.001712131
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE12	0	0.003829758	0.002955889	0.005777412	0.003358792	0.004659615	0.000488907	0.002347961	0.003774232	0.002101666	0.003326451	0.002168866	0.00970603	0.003326301	0.004071058	0.003657934	0.002897473	0.002240248	0.003681147	0.002916649	0.001559648	0.00790088	0.005043263	0.001024714	0.004491005	0.003638218	0.00643951	0.002379806	0.006173493	0.006027976	0.009907337	0.002965386	0.002353764	0.011281157
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE14	0.003129445	0.001740108	0.002292709	0.001331775	0.001485295	0.002516192	0.00124943	0.00161867	0.000686224	0.001384742	0.001376462	0.001669925	0.001832164	0.002261884	0.002092958	0.002113198	0.00299536	0.001341687	0.001768191	0.001621147	0.00257176	0.00173895	0.000469716	0.002802893	0.002378601	0.002074124	0.002218655	0.001742358	0	0.000444796	0.003601608	0.001210139	0.002449187	0.002153293
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE15	0	0.001413363	0	0.001168896	0.002177307	0.000792135	0	0.001743183	0.003842855	0.0011294	0.001816166	0.002128136	0	0	0.000931622	0	0.002564655	0.001366305	0.000734161	0.000884906	0.000962336	4.73E-05	0.0023733	0.000753466	0	0	0.000847779	0.000254979	0.002520225	0	0.000174835	0.001210139	0.001399536	0
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE2	0	0.000281153	0	0.001015598	0.002590827	0.000885327	0.002172921	0.00103168	0.001338137	0.001188325	0.000946318	0.001232079	0.000589589	0.001254491	0.001059241	0.004226396	0.000724368	0.001415541	0.001333899	0.000573419	0.000846192	0.00127586	0.001433869	0.001959011	0.000583917	0.002788167	0.001208536	0	0.000624762	0.000663874	0.002179614	0.000643227	0.002321957	0.00078779
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE3	0.012517781	0.00548628	0.007446567	0.004838462	0.007806237	0.003820884	0.008039808	0.006830431	0.005524104	0.006039833	0.007025694	0.005641088	0.008121113	0.006196423	0.0090865	0.008217993	0.007791852	0.010056499	0.006317923	0.005819139	0.005176705	0.001927966	0.004573548	0.007353828	0.00645743	0.005882353	0.007034759	0.006360314	0.007147698	0.006379829	0.0028673	0.005320251	0.006902255	0.00051469
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE4	0.0056899	0.002120045	0.002766409	0.00335339	0.004329297	0.001444481	0.003520132	0.001921059	0.004117344	0.002887335	0.003297775	0.00251507	0.001508841	0.002680048	0.002718293	0.001495304	0.004561562	0.002904937	0.00278154	0.002654717	0.006238593	0.002929752	0.003362176	0.005003014	0.002825126	0.006154369	0.002525298	0.002663116	0.000815367	0.002542637	0.003007168	0.00339057	0.006552371	0.004107013
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE6	0	0.003396631	0.004339094	0.001571303	0.002076037	0.002003634	0.002390213	0.002365748	0.002161606	0.003329274	0.002599985	0.002077224	0.004583579	0.00273707	0.002948008	0.002768166	0.001252961	0.002904937	0.003546723	0.002704272	0.003252033	0.003912637	0.00538937	0.00331525	0.002344253	0.002856171	0.001875936	0.002238151	0.004489813	0.00331937	0.003286905	0.002899973	0.002989917	0.00436961
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE7	0.00512091	0.005805427	0.00456647	0.004598935	0.004278662	0.004426634	0.00302036	0.004944947	0.000892091	0.004105123	0.005448497	0.004643206	0.006948275	0.003744464	0.004811251	0.003596144	0.001272539	0.001366305	0.003701827	0.00478557	0.004546209	0.00534916	0.004721879	0.002712477	0.004250569	0.001530092	0.001064233	0.003768026	0.003865051	0.002257171	0.003566641	0.003630417	0.008269983	0.00548302
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE8	0.008250356	0.005281115	0.001553737	0.006994213	0.00511414	0.012114999	0.002401078	0.002899376	0.011219763	0.00294626	0.005209528	0.00494868	0.008812137	0.000513201	0.003139437	0.006487889	0.001292116	0.004418951	0.003825911	0.002874173	0.002505392	0.010877886	0.011199011	0.000753466	0.006122537	0.002618157	0.002669601	0.00347055	0.004849845	0.004501066	0.004615654	0.004982284	0.003657877	0.010629917
L1_CAZyme;L2_Enzyme_Classes;L3_CarbohydrateEsterases;L4_CE9	0.014509246	0.007849484	0.00674549	0.007367876	0.006017132	0.011229672	0.007322744	0.004660346	0.006073083	0.005872879	0.007761719	0.009897361	0	0.002470966	0.005589729	0.008613445	0.00299536	0.012161347	0.004311905	0.00478557	0.003534097	0.001663343	0.004351051	0.0053044	0.011781375	0.005678341	0.010317646	0.005864521	0.011245711	0.010442738	0.003997902	0.004982284	0.009065174	0.002321355
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH1	0.009388336	0	0.004244353	0.002424022	0.009156504	0	0.014699811	0.006403529	0.017361469	0.009575346	0.007780837	0.004001711	0.000158492	0.001121438	0.002207815	0.00514088	0.00031324	0.012296747	0.002678138	0.001925555	0.001758752	0.000387483	0.003782447	0.000693189	0.001794685	0.002618157	0.008658165	0.002110661	0.000815367	0.000936062	0.0048138	0.000566912	0.005152836	0.002920076
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH10	0	0.001823694	0	0.003592918	0.003730115	0	0.001684014	0.002116722	0.003774232	0.005038105	0.001271316	0.002067041	0.004304634	0.001026401	0.001531433	0.002001977	0.000685213	0.002880319	0.005707845	0.001833524	0.001294176	0.005311357	0.005809642	0.000693189	0.001313812	0.002686161	0.001912011	0.0004108	0.002827312	0.00057757	0.012646425	0.003510493	0.002862686	0.012751699
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH101	0	0	0.000530544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH102	0	0	0	0	0	0	0	0	0	0.000196417	6.69E-05	0	0	0	0	0	0	0.001132433	0	0	0	0	0	0	0.000188914	0	0	0.000269145	0.000180016	0	0.00016318	0.000109022	0	0
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001021652	0	0	0	0	0.000766378	0	0.000145979	0	0	0	0.000285908	0	0	0	0	0
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH105	0.012517781	0.011876809	0.007598151	0.014362089	0.012456222	0.010251153	0.00853958	0.011953254	0.008886601	0.010665462	0.0139558	0.011801483	0.007182842	0.005816274	0.00960974	0.009058329	0.0058341	0.010868896	0.014445398	0.011694913	0.007831425	0.013221688	0.018961681	0.004189271	0.016238032	0.00816049	0.013041361	0.00722441	0.014729552	0.015123049	0.014313188	0.014478059	0.007347562	0.006260307
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH106	0	0.013259778	0.00646127	0.009868547	0.010169205	0.006476865	0.010821147	0.008929366	0.0039801	0.016341923	0.011738166	0.010457397	0.00628261	0.019482618	0.015390898	0.013408304	0.001194229	0.008247067	0.014590162	0.011326792	0.013721586	0.007125913	0.007861557	0.005213984	0.016495642	0.014280857	0.007323364	0.010666629	0.019568809	0.011285857	0.016061542	0.007533388	0.005343681	0.007279182
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH108	0.003698435	0.000243159	0	0.000574867	0.000135027	0	0.000608418	0.000622565	0.000137245	0.00045176	0.000238969	0.000152737	3.80E-05	0.00081732	0.000204191	0	9.79E-05	0.000209254	0.000744502	0.000247774	0.000613904	0.000122861	0.000469716	0.000180832	0.000652613	0.000578035	7.22E-05	0.000269145	0.000232962	0	0.000268081	0.000414282	0	0
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH109	0.013086771	0.006390529	0.008640291	0.005643276	0.007232373	0.008666884	0.006084179	0.007150607	0.009915938	0.007630814	0.008058041	0.007361926	0.002504168	0.007241832	0.006968019	0.008193277	0.009749604	0.00860403	0.007341612	0.004870521	0.005873569	0.003572407	0.003535229	0.007926462	0.011609635	0.010642639	0.009127149	0.012394821	0.006671185	0.013224369	0.005851157	0.008721723	0.012214129	0.003319223
L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH110	0	0.002735542	0.001023192	0.007070862	0.006447529	0	0.002248973	0.009071666	0.002607651	0.002985544	0.00325954	0.005325432	0.000963629	0.004485754	0.007861354	0.004757785	0.006969596	0.005268276	0.003505361	0.003582098	0.004446657	0.00138927	0.001137206	0.008197709	0.011051479	0.002686161	0.008297408	0.00514208	0	0.003664584	0.003042135	0.006236032	0.016794427	0
