#queryid	MCT.f.0477	MCT.f.0481	MCT.f.0482	MCT.f.0486	MCT.f.0488	MCT.f.0489	MCT.f.0492	taxonomy
cazy_0076_gene_4127	2.0	10.0	14.0	12.0	0.0	0.0	13.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH112
cazy_0153_gene_7757	0.0	1.0	5.0	2.0	0.0	0.0	0.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH113
cazy_0044_gene_2934	1.0	13.0	11.0	7.0	0.0	0.0	12.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH115
cazy_0084_gene_4338	0.0	10.0	12.0	7.0	0.0	0.0	5.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH123
cazy_0017_gene_1920	0.0	30.0	5.0	9.0	0.0	0.0	1.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH125
cazy_0067_gene_3877	0.0	2.0	8.0	4.0	0.0	0.0	8.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH127
cazy_0119_gene_5963	2.0	20.0	16.0	5.0	0.0	1.0	12.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH127
cazy_0120_gene_5982	1.0	12.0	10.0	8.0	0.0	0.0	7.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH127
cazy_0020_gene_2113	0.0	4.0	10.0	8.0	0.0	0.0	0.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH13
cazy_0033_gene_2548	3.0	5.0	13.0	6.0	0.0	1.0	11.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH13
cazy_0041_gene_2848	0.0	0.0	10.0	8.0	0.0	0.0	2.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH13
cazy_0046_gene_2958	0.0	0.0	12.0	2.0	0.0	0.0	23.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH13
cazy_0047_gene_2981	0.0	0.0	4.0	2.0	0.0	11.0	11.0	L1_CAZyme;L2_Enzyme_Classes;L3_GlycosideHydrolases;L4_GH13
